year,gdp_growth,note
1986,2.79,Đầu Đổi mới
1987,3.58,
1988,5.10,
1989,7.36,
1990,5.10,
1991,5.81,
1992,8.70,
1993,8.08,
1994,8.84,
1995,9.54,Cao điểm tăng trưởng
1996,9.34,
1997,8.15,Khủng hoảng tài chính châu Á
1998,5.76,
1999,4.77,
2000,6.79,
2001,6.19,
2002,6.32,
2003,6.90,
2004,7.54,
2005,7.55,
2006,6.98,
2007,7.13,Gia nhập WTO
2008,5.66,Khủng hoảng tài chính toàn cầu
2009,5.40,
2010,6.42,
2011,6.24,
2012,5.25,Bất ổn vĩ mô trong nước
2013,5.42,
2014,5.98,
2015,6.68,
2016,6.21,
2017,6.81,
2018,7.08,
2019,7.02,
2020,2.91,Covid-19
2021,2.58,Covid - làn sóng Delta
2022,8.02,Phục hồi sau Covid
2023,5.05,
2024,7.09,
